Image,Predicted Class
image_0,3
image_1,6
image_2,3
image_3,6
image_4,6
image_5,5
image_6,4
image_7,9
image_8,6
image_9,7
image_10,3
image_11,3
image_12,5
image_13,6
image_14,7
image_15,3
image_16,1
image_17,1
image_18,8
image_19,4
image_20,0
image_21,0
image_22,0
image_23,4
image_24,9
image_25,2
image_26,0
image_27,1
image_28,6
image_29,3
image_30,3
image_31,5
image_32,4
image_33,5
image_34,7
image_35,3
image_36,9
image_37,4
image_38,3
image_39,5
image_40,9
image_41,6
image_42,6
image_43,5
image_44,4
image_45,6
image_46,9
image_47,4
image_48,6
image_49,3
image_50,6
image_51,3
image_52,5
image_53,3
image_54,3
image_55,6
image_56,3
image_57,7
image_58,4
image_59,6
image_60,9
image_61,9
image_62,1
image_63,2
image_64,6
image_65,9
image_66,4
image_67,0
image_68,6
image_69,2
image_70,5
image_71,3
image_72,3
image_73,7
image_74,1
image_75,9
image_76,5
image_77,9
image_78,5
image_79,8
image_80,0
image_81,9
image_82,0
image_83,7
image_84,9
image_85,9
image_86,6
image_87,3
image_88,1
image_89,4
image_90,5
image_91,1
image_92,0
image_93,6
image_94,7
image_95,4
image_96,8
image_97,7
image_98,5
image_99,3
image_100,7
image_101,3
image_102,3
image_103,3
image_104,4
image_105,4
image_106,1
image_107,3
image_108,7
image_109,5
image_110,8
image_111,6
image_112,7
image_113,5
image_114,2
image_115,7
image_116,1
image_117,3
image_118,0
image_119,7
image_120,3
image_121,2
image_122,3
image_123,0
image_124,8
image_125,1
image_126,3
image_127,9
image_128,3
image_129,0
image_130,4
image_131,3
image_132,0
image_133,6
image_134,5
image_135,3
image_136,3
image_137,8
image_138,8
image_139,6
image_140,4
image_141,6
image_142,9
image_143,8
image_144,6
image_145,9
image_146,4
image_147,9
image_148,9
image_149,4
image_150,7
image_151,5
image_152,2
image_153,0
image_154,6
image_155,0
image_156,3
image_157,2
image_158,4
image_159,0
image_160,6
image_161,5
image_162,6
image_163,1
image_164,6
image_165,7
image_166,0
image_167,9
image_168,7
image_169,4
image_170,0
image_171,4
image_172,6
image_173,4
image_174,1
image_175,8
image_176,4
image_177,1
image_178,5
image_179,3
image_180,6
image_181,5
image_182,6
image_183,5
image_184,3
image_185,4
image_186,9
image_187,9
image_188,2
image_189,4
image_190,1
image_191,2
image_192,6
image_193,4
image_194,6
image_195,5
image_196,2
image_197,7
image_198,4
image_199,5
image_200,2
image_201,3
image_202,5
image_203,8
image_204,5
image_205,8
image_206,0
image_207,2
image_208,3
image_209,5
image_210,4
image_211,8
image_212,6
image_213,4
image_214,7
image_215,1
image_216,4
image_217,9
image_218,4
image_219,3
image_220,3
image_221,6
image_222,0
image_223,0
image_224,5
image_225,1
image_226,1
image_227,6
image_228,0
image_229,4
image_230,6
image_231,3
image_232,5
image_233,3
image_234,5
image_235,9
image_236,8
image_237,0
image_238,6
image_239,9
image_240,6
image_241,7
image_242,0
image_243,9
image_244,1
image_245,6
image_246,3
image_247,4
image_248,3
image_249,6
image_250,5
image_251,7
image_252,6
image_253,2
image_254,5
image_255,6
image_256,3
image_257,4
image_258,7
image_259,5
image_260,6
image_261,9
image_262,4
image_263,3
image_264,7
image_265,7
image_266,2
image_267,8
image_268,9
image_269,5
image_270,0
image_271,1
image_272,2
image_273,3
image_274,7
image_275,4
image_276,7
image_277,1
